Product,Albania,Algeria,Angola,Argentina,Australia,Austria,Bangladesh,Belarus,Belgium,Benin,Bolivia__Plurinational_State_of_,Bosnia_and_Herzegovina,Brazil,Bulgaria,Burkina_Faso,Burundi,Cambodia,Cameroon,Canada,Central_African_Republic,Chad,Chile,China,Colombia,Congo,Costa_Rica,Croatia,Cuba,Cyprus,Czech_Republic,Côte_d_Ivoire,Democratic_People_s_Republic_of_Korea,Democratic_Republic_of_the_Congo,Denmark,Ecuador,Egypt,El_Salvador,Eritrea,Estonia,Ethiopia,Finland,France,Gabon,Germany,Ghana,Greece,Guadeloupe,Guatemala,Guinea,Guinea_Bissau,Hungary,India,Indonesia,Iran__Islamic_Republic_of_,Ireland,Israel,Italy,Japan,Kenya,Kyrgyzstan,Latvia,Liberia,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Mali,Mauritius,Mexico,Mongolia,Morocco,Mozambique,Namibia,Nepal,Netherlands,New_Zealand,Nicaragua,Niger,Nigeria,Norway,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Republic_of_Moldova,Romania,Russian_Federation,Rwanda,Senegal,Serbia,Sierra_Leone,Slovakia,Slovenia,Somalia,South_Africa,Spain,Sri_Lanka,Sudan__former_,Sweden,Switzerland,Thailand,Togo,Tunisia,Turkey,Uganda,Ukraine,United_Kingdom,United_Republic_of_Tanzania,United_States_of_America,Uruguay,Uzbekistan,Venezuela__Bolivarian_Republic_of_,Viet_Nam,Zambia,Zimbabwe
Adzuki bean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.39723177430766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Almonds,,,,,2.95149292048568,,,,,,,,,,,,,,,,,,1.68213792026417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.12851946394021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.91304516007663,,,,,,
"Almonds, Hazelnuts, Carob",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09779061216884,,,,,,,,,,,,,,,,,,,
Amazon river prawn,,,,,,,,,,,,,87.7450974721723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apples,,,,,,,,,,,,,,,,,,,0.442968138190968,,,0.336628253114685,0.546254950560132,,,,,,,,,,,,,,,,,,,0.22399086854827,,0.372398736034917,,0.489904713395563,,,,,,,,,,,0.479685361950261,,,,,,,,,,,,,,,,,,,,0.363202328882958,,,,,,,,0.727955307769182,,,0.343419031618225,,,,,,,,,,,,0.431180335659018,,,,0.377436492342766,,,,,,,0.434120765641049,,0.443828971519359,,,,,,
Artichokes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.937348704083075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08576412937846,,,,,,,,,,,,,,,,,,,
Avocado,,,,,0.936771431238676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48343429182113,,,,,,,,,,,,,,1.78868313593942,,,,,,,,,,,,,,,4.89878737988681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bananas,,,,,0.861984701196097,,,,,,,,,,,,,,,,,,0.635487519455374,0.745341963612176,,0.860708202912361,,,,,,,,,0.955423869733284,,,,,,,,,,,,0.769744931554931,,,,,0.795198858330368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61883139347392,,0.488926439190568,,,,,,,,,,,,,,,,,,,,0.722709044691357,,,,,,,,,,,,,,
Barley,,1.1857950706844,,,0.980052317959923,,,1.48914713465962,1.03969889984848,,,1.06630102343508,,1.11211976653199,,,,,,,,,,,,,,,,1.09867386154689,,,,1.10543708044045,,,,,,,1.26627723003661,1.04123617990346,,1.07527742280778,,,,,,,1.1972190255727,,,1.14529500847207,1.14590117347427,,,,,,,,,,,,,,,,,1.18608701426328,,,,,,,,,1.20264268513154,,,,,,1.24271764336866,,1.1043352159091,1.12204955163101,1.24209109291778,,,1.06080882724496,,1.10496338895923,,,,0.993450826764206,,,1.0935369661499,,,,1.14918797062935,1.16177513687343,,1.2649488362333,,,1.06171543696077,,1.20560850265981,,,,
Beef,,,,,49.1732411349433,,,,,,,,93.7214789680359,,,,,,75.6705847533414,,,104.768397613366,21.8870196086213,,,,,,,,,,,57.5017846283789,,,,,,,,43.9733433118747,,35.7515563188194,,,,,,,,,295.731141015805,,36.4582292988004,,,,,,,,,,,,,,,26.7930721584848,,,,,,40.7377631367429,,,,,43.369789330329,,,,,,,,,19.8402181995942,,,,,,,,,,,,,43.2243487816154,57.3270297949053,,,,,,,47.5689508396305,,38.6515828482334,74.3265226881467,,,,,
Beer,,,,,1.52597710949296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beer (Fat Tire® Amber Ale),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52723728072053,,,,,,
"Beer (HUB Lager, Hopworks Urban Brewery)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.782051666461254,,,,,,
"Beer (Horn Blonde Ale, RAM Brewery)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.439197149808063,,,,,,
"Beer (Pinnacle Peak Pale Ale, Harmon Brewing Company)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.607365558754795,,,,,,
Beer (Vashon Brewing Company),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63928511974374,,,,,,
"Beer (Vortex IPA, Fort George Brewery)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36832975687611,,,,,,
Blood oranges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.383528819659143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blueberries,,,,,,,,,,,,,,,,,,,,,,0.969560942037599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.660898518395164,,,,,,
Bread wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.04335795686106,,,,,,,,
Broccoli,,,,,2.3624366527647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.818923427119285,,,0.75765370588337,0.528550376195368,,,,,,,0.735349316972604,,0.725700481512092,,,,,,
"Brook trout, brown trout, rainbow trout, arctic char",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6320117093179,,,,,,,,13.55257307039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brown beans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.26550507421817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunched carrots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55683462538674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabbage,,,,,0.476715803106119,,,,,,,,,,,,,,,,,,0.274203470094678,,,,,,,0.269603631238062,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.316487939490627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.217305303486549,0.275065497537896,,,,,,,,,,,,,,,
Canary melon,,,,,,,,,,,,,2.94013946478159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canola,,,,,2.1203533563423,,,,,,,,,,,,,,3.52690621138275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.08916702022547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.21157242691382,,,,,3.12072903292447,,,,,,
Canola oil,,,,,1.95215633770578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.66903519713099,,,,,,,,,,,,,,,,,,,,
Carrots,,,,,0.484259222646571,,,,,,,,,,,,,,,,,,,,,,,,,0.319442340461141,,,,0.372378103800704,,,,,,,,0.286164974337184,,,,,,,,,,,,,,,0.430266240132835,,,,,,,,,,,,,,,,,,,0.439873177611013,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169445263189172,0.307016140660529,,,,,,,0.266102033350508,,,,,,,,
Cashew nuts,,,,,,,,,,,,,10.8653761396981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.44645072658087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
